# variables	time_frequency	indicator_1	indicator_2	indicator_3	indicator_4	indicator_5	indicator_6	dataset_id	index_node	data_node	
clmcalipso	mon	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clmcalipso.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clmcalipso	mon_day_time	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clmcalipso.mon_day_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clmcalipso	mon_night_time	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clmcalipso.mon_night_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clrcalipso	mon	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clrcalipso.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clrcalipso	mon_day_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clrcalipso.mon_day_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clrcalipso	mon_night_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clrcalipso.mon_night_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cltcalipso	mon	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cltcalipso.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cltcalipso	mon_day_time	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cltcalipso.mon_day_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cltcalipso	mon_night_time	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cltcalipso.mon_night_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
uncalipso	mon	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.uncalipso.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
uncalipso	mon_day_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.uncalipso.mon_day_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
uncalipso	mon_night_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.uncalipso.mon_night_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
xch4	mon	green	green	green	yellow	Yellow	Light gray	obs4MIPs.IUP.XCH4_CRDP3.xch4.mon.v100|esgf-data1.ceda.ac.uk	esgf-index1.ceda.ac.uk	esgf-data1.ceda.ac.uk
xco2	mon	green	green	green	white	white	Light gray	obs4MIPs.IUP.XCO2_CRDP3.xco2.mon.v100|esgf-data1.ceda.ac.uk	esgf-index1.ceda.ac.uk	esgf-data1.ceda.ac.uk
pr	day	green	green	yellow	Green	Yellow	Light gray	obs4MIPs.NASA-GSFC.GPCP.atmos.day.v20160610|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
pr,prStderr	mon	green	green	yellow	Green	Yellow	Light gray	obs4MIPs.NASA-GSFC.GPCP.atmos.mon.v20160610|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
od550aer,od550aerNobs,od550aerStdv	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.NASA-GSFC.MISR.atmos.mon.v20160614|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
fpar,od550aer,od550aerNobs,od550aerStdv	mon	green	green	Orange	Green	Yellow	Light gray	obs4MIPs.NASA-GSFC.MODIS.atmos.mon.v20160614|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
clt,cltNobs,cltStddev	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-GSFC.MODIS.clt.mon.v20111130|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
lai	mon	green	green	Orange	Yellow	Orange	Light gray	obs4MIPs.NASA-GSFC.MODIS.land.mon.v20160614|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
pr	3hr	green	green	white	white	Yellow	Light gray	obs4MIPs.NASA-GSFC.TRMM.atmos.3hr.v20160613|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
pr,prStderr	mon	green	green	white	white	Yellow	Light gray	obs4MIPs.NASA-GSFC.TRMM.atmos.mon.v20160613|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
hus,husNobs,husStderr	mon	green	green	white	white	Yellow	Light gray	obs4mips.NASA-JPL.AIRS.hus.mon.v20110608|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
ta,taNobs,taStderr	mon	green	green	green	green	Yellow	Light gray	obs4mips.NASA-JPL.AIRS.ta.mon.v20110608|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
ta	monClim	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.GNSS_RO.ta.monClim.v20160601|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
zg	monClim	green	green	Yellow	Yellow	Yellow	Light gray	obs4mips.NASA-JPL.GNSS_RO.zg.monClim.v20160601|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
cli	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.MLS.cli.mon.v20160504|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
hus,husNobs,husStderr	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.MLS.hus.mon.v20111025|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
ta,taNobs,taStderr	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.MLS.ta.mon.v20111025|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
sfcWind,sfcWindNobs,sfcWindStderr	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.QuikSCAT.sfcWind.mon.v20120411|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
uas,uasNobs,uasStderr	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.QuikSCAT.uas.mon.v20120411|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
vas,vasNobs,vasStderr	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.QuikSCAT.vas.mon.v20120411|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
tro3,tro3Nobs,tro3Stderr	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.NASA-JPL.TES.tro3.mon.v20110608|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
rlut,rlutcs,rsdt,rsut,rsutcs	mon	green	green	Green	Green	Yellow	Light gray	obs4MIPs.NASA-LaRC.CERES-EBAF.atmos.mon.v20160610|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
rlds,rldscs,rlus,rsds,rsdscs,rsus,rsuscs	mon	green	green	Orange	Green	Yellow	Light gray	obs4MIPs.NASA-LaRC.CERES-EBAF_Surface.atmos.mon.v20160610|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
tos	day	green	green	Green	Green	Yellow	Light gray	obs4MIPs.NCEI.OISST.tos.day.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
tos	mon	green	green	Green	Green	Yellow	Light gray	obs4MIPs.NCEI.OISST.tos.mon.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
rlut	day	green	green	Green	Green	Yellow	Light gray	obs4MIPs.NCEI.OLR.rlut.day.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
rlut	mon	green	green	Green	Green	Yellow	Light gray	obs4MIPs.NCEI.OLR.rlut.mon.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
sic	day	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.NCEI.PMSIC.NH.sic.day.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
sic	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.NCEI.PMSIC.NH.sic.mon.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
sic	day	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.NCEI.PMSIC.SH.sic.day.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
